month,model,r2,rmse_kwh,mae_kwh,mape_pct,mean_error_kwh
1,Yesterday Baseline,0.9916975447586293,4908.279801600722,2658.430913978494,3.659222514277087,433.00365591397843
2,Yesterday Baseline,0.9869966574398905,6242.651547595297,3091.153132183908,4.053091541492638,40.26997126436788
3,Yesterday Baseline,0.9818643816427811,8001.049049847198,4173.310107526882,5.099010592316246,-88.68059139784953
4,Yesterday Baseline,0.9825730444966497,7992.764414165061,4201.49961111111,5.102919731484587,268.3102777777778
5,Yesterday Baseline,0.9853059141553845,7663.806558369265,4065.1003225806453,4.908067507042555,-7.29306451612896
6,Yesterday Baseline,0.9777052959553141,8627.314583167747,4678.8118888888885,5.925363527088374,-265.0230555555555
7,Yesterday Baseline,0.9897304382029039,6252.3889332869385,3443.8295967741933,4.1137654651693865,333.125241935484
8,Yesterday Baseline,0.9833320691784615,7834.892678202187,3965.344892473119,4.780658746173207,-166.5693548387096
9,Yesterday Baseline,0.9852506982183703,7178.200557765329,3771.366194444444,4.691843872696823,153.72524999999996
10,Yesterday Baseline,0.9874623391153722,6940.018453198135,3465.8908602150536,4.367498380274156,-96.23193548387093
11,Yesterday Baseline,0.980771512002885,8132.018985051997,4050.6568888888887,5.062211015361217,-437.3644999999999
12,Yesterday Baseline,0.9836776559549654,7055.540627799076,3540.3076612903224,4.390034590878309,169.2655645161289
1,Previous-Week Baseline,0.985188195136261,6555.865448522177,3505.630483870968,4.642966418628013,2018.3240860215055
2,Previous-Week Baseline,0.9837300339486096,6982.885416029001,4017.0816379310336,5.324502713891112,279.752787356322
3,Previous-Week Baseline,0.9658910416659606,10972.737180812275,5553.988924731182,6.92461808973131,-581.0208064516129
4,Previous-Week Baseline,0.9555339048008523,12767.349523644483,6636.184222222222,8.032080815507637,923.6871111111109
5,Previous-Week Baseline,0.9814415426952048,8612.796458730721,4602.09438172043,5.750311959268028,584.1065860215054
6,Previous-Week Baseline,0.9779404355070493,8581.698364528596,4950.3803333333335,6.85409437313459,-870.3934999999999
7,Previous-Week Baseline,0.9876781220938011,6848.705317201118,4072.5315860215055,5.299337273497726,1498.3083602150543
8,Previous-Week Baseline,0.9862458679350085,7117.193972641504,3824.066801075268,4.873741308234812,-468.54631720430103
9,Previous-Week Baseline,0.9785808523288121,8650.295628149266,4968.369222222221,6.4472699603694155,-328.24894444444453
10,Previous-Week Baseline,0.983484906105152,7965.130384160977,4524.574139784945,5.611792771825194,-238.83258064516122
11,Previous-Week Baseline,0.9792777733493951,8441.974303698882,4570.366222222223,6.157320972512892,-412.4465555555553
