municipality,model,r2,rmse_kwh,mae_kwh,mape_pct,mean_error_kwh
Bagumbayan,Yesterday Baseline,0.13972454925783728,2740.0390418225834,2152.0879234972676,4.965026959956647,13.78338797814208
Columbio,Yesterday Baseline,0.0841074634207517,975.9108369774642,764.9757923497268,4.693635454939119,6.975628415300546
Esperanza,Yesterday Baseline,0.13790729869708584,4085.64527037879,3199.10150273224,5.6393416608876805,18.58860655737705
Isulan,Yesterday Baseline,0.14242108442871104,11417.095253528136,9048.47325136612,6.210619482163408,71.33051912568307
Kalamansig,Yesterday Baseline,0.13571229589104228,1475.9046890876923,1145.5794535519121,2.8547393260291942,5.114480874316924
Lambayong,Yesterday Baseline,0.11240931458626569,5102.90940256953,3959.3229234972678,5.62930165984465,38.56199453551911
Lebak,Yesterday Baseline,0.3537153190242609,3043.0535032409725,2417.8403551912565,3.0276495296596666,22.26379781420766
Lutayan,Yesterday Baseline,0.1373884802219374,3028.4128941126237,2357.917131147541,5.578575588484184,13.97254098360655
Palimbang,Yesterday Baseline,0.33284512766993646,1667.466144397219,1329.115846994535,2.7743570629009544,-2.435355191256821
President Quirino,Yesterday Baseline,0.1831172683661113,2796.0257736891267,2188.9196721311473,5.708009841588725,17.305081967213113
Senator Ninoy Aquino,Yesterday Baseline,0.4137014071004327,665.5184501348895,524.3671038251366,2.1290915818482805,2.18934426229508
Tacurong City,Yesterday Baseline,0.09620773496016743,13022.231115003713,10092.600839904371,6.915870108484808,87.91225465300546
Bagumbayan,Previous-Week Baseline,-0.3212525656103744,3395.7124573029614,2670.2556830601093,6.124293748958706,61.97136612021857
Columbio,Previous-Week Baseline,-0.19085334371265006,1112.799753612187,858.1436612021856,5.237003539710061,25.79147540983606
Esperanza,Previous-Week Baseline,-0.12711731129441417,4671.627786668733,3768.6047540983604,6.658118700050288,130.55901639344265
Isulan,Previous-Week Baseline,-0.09777278697641245,12917.391052424267,10226.767732240436,7.021301008726663,402.13762295081966
Kalamansig,Previous-Week Baseline,-0.8451167690791512,2156.4583434011865,1696.32087431694,4.239530466637554,65.30814207650273
Lambayong,Previous-Week Baseline,-0.19252998232145035,5914.882793802075,4674.390491803279,6.643965249904178,167.80448087431694
Lebak,Previous-Week Baseline,-0.6197292987374714,4817.468419198468,3875.004180327868,4.845377052246355,195.70680327868854
Lutayan,Previous-Week Baseline,-0.1878256191261085,3553.7248875718865,2832.5800273224045,6.705136930116906,58.84390710382517
Palimbang,Previous-Week Baseline,-0.47693908922333206,2480.9898430037365,1986.7109562841529,4.16475078112446,10.09773224043717
President Quirino,Previous-Week Baseline,-0.33387564936806924,3572.8845640047693,2886.2475683060106,7.564922911949185,76.83122950819671
Senator Ninoy Aquino,Previous-Week Baseline,-0.8379805214119931,1178.341372047807,920.5969672131147,3.7418176557873384,23.815491803278693
Tacurong City,Previous-Week Baseline,-0.23875178250804807,15245.554855248607,11792.769697005466,8.07699927141012,436.0155527486338
Bagumbayan,Municipality MLR,0.7670811882312576,1425.7397860649392,1133.179874305875,2.6196457047177044,193.64026118368952
Columbio,Municipality MLR,-1.3783199094919905,1572.6171820157906,1248.253534195346,7.682833776407004,-170.7336558847367
Esperanza,Municipality MLR,0.7739917259356569,2091.9237099477814,1597.3422158116066,2.7608844238054964,943.7014428158853
Isulan,Municipality MLR,0.5401383901748478,8360.498140317999,6470.766001925259,4.318331049817317,3838.798386472217
Kalamansig,Municipality MLR,-0.0201599455138739,1603.4790098232195,1255.8284073774107,3.163456048525292,-107.90155748535949
Lambayong,Municipality MLR,0.7347098425702987,2789.7935036546114,2150.3228592876894,2.992496631494399,1141.0146092706098
Lebak,Municipality MLR,0.6288459808757914,2306.081974724614,1854.5260872869458,2.320347592576705,350.10769520143043
Lutayan,Municipality MLR,0.7904557759925255,1492.6064255573028,1172.3516068163094,2.7614024730336513,543.3589976459361
Palimbang,Municipality MLR,0.2884891875534429,1722.0051500934374,1365.2842677978138,2.87778278100638,146.24796789348957
President Quirino,Municipality MLR,0.8258210547791889,1291.0977991358484,1021.7088243434292,2.6790459298544973,275.2730416473547
Senator Ninoy Aquino,Municipality MLR,-3.8819860579153067,1920.4320326926575,1570.1006421175846,6.388847015855734,-574.7379630698098
Tacurong City,Municipality MLR,0.4896888111623504,9785.17583243466,7525.313841989133,5.001366488731098,4391.802836081632
Bagumbayan,Municipality SARIMA,0.4936952694696173,2102.0545330082223,1607.7556047942835,3.6329867707730044,847.1997059609597
Columbio,Municipality SARIMA,0.5650295075606002,672.5394722292575,518.9249579700713,3.1355915359123743,196.05217738641107
Esperanza,Municipality SARIMA,0.5285436422747332,3021.3735380382645,2401.7868966569026,4.152636691144231,1085.1190433443373
Isulan,Municipality SARIMA,0.5544011698054865,8229.824953669284,6415.661211460984,4.331136177559719,2284.846591592862
