feature,coefficient,absolute_coefficient
numeric__rolling_mean_14,-16860.29988456895,16860.29988456895
numeric__consumption_lag_1,14604.303462128802,14604.303462128802
numeric__rolling_mean_7,10673.699577484449,10673.699577484449
numeric__temperature_mean_c,8659.758962928465,8659.758962928465
numeric__rolling_mean_30,8363.58207038523,8363.58207038523
numeric__consumption_lag_14,6462.246508052307,6462.246508052307
numeric__consumption_lag_7,6308.414315315125,6308.414315315125
numeric__customer_count,4942.694050119848,4942.694050119848
categorical__climate_zone_CENTRAL_URBAN_LOWLAND,4919.408948363494,4919.408948363494
numeric__temperature_min_c,-3725.5457456441263,3725.5457456441263
categorical__municipality_Tacurong City,3362.318094222419,3362.318094222419
categorical__municipality_Esperanza,-3192.9783269586515,3192.9783269586515
numeric__temperature_max_c,-3081.316434039443,3081.316434039443
numeric__consumption_lag_30,-2913.470328782558,2913.470328782558
categorical__climate_zone_UPLAND_INTERIOR,-2518.9934970687077,2518.9934970687077
categorical__month_category_6,2270.8040054275293,2270.8040054275293
categorical__month_category_7,2171.1694032185105,2171.1694032185105
categorical__month_category_8,1908.054249729155,1908.054249729155
categorical__month_category_3,-1709.422448811733,1709.422448811733
categorical__month_category_9,1584.563184314589,1584.563184314589
categorical__municipality_Isulan,1557.0908541411,1557.0908541411
categorical__municipality_Kalamansig,1494.271451832079,1494.271451832079
categorical__municipality_Lebak,-1478.2630514745574,1478.2630514745574
numeric__population,1337.9527813817117,1337.9527813817117
categorical__month_category_2,-1301.1836721010773,1301.1836721010773
numeric__temperature_lag_1,-1293.2982106379702,1293.2982106379702
categorical__municipality_President Quirino,1293.1386368506817,1293.1386368506817
categorical__climate_zone_NORTHERN_LOWLAND,-1270.1185338030177,1270.1185338030177
categorical__municipality_Lambayong,-1270.1185338029784,1270.1185338029784
categorical__day_of_week_Monday,1263.59020865683,1263.59020865683
categorical__month_category_5,1165.8163718386327,1165.8163718386327
categorical__month_category_10,1150.5142970503257,1150.5142970503257
categorical__climate_zone_EASTERN_UPLAND,1011.6761998521428,1011.6761998521428
categorical__municipality_Columbio,1011.676199852064,1011.676199852064
categorical__climate_zone_EASTERN_LOWLAND,909.4041787723233,909.4041787723233
categorical__month_category_11,854.3506760662392,854.3506760662392
numeric__humidity_mean_pct,749.9292241356115,749.9292241356115
numeric__is_holiday,-729.892124805069,729.892124805069
numeric__consumption_lag_2,-697.6319583905824,697.6319583905824
numeric__is_weekend,-690.8394631575795,690.8394631575795
categorical__month_category_12,675.6894752271503,675.6894752271503
categorical__month_category_4,-474.7015974760268,474.7015974760268
categorical__day_of_week_Tuesday,-418.73676255023383,418.73676255023383
categorical__municipality_Lutayan,-383.7344580781971,383.7344580781971
categorical__day_of_week_Sunday,-373.50525929277114,373.50525929277114
categorical__municipality_Senator Ninoy Aquino,329.8974108156036,329.8974108156036
categorical__climate_zone_WESTERN_MOUNTAINOUS,329.89741081552455,329.89741081552455
categorical__day_of_week_Thursday,-312.36903223814625,312.36903223814625
numeric__grid_connected,-300.38114739499275,300.38114739499275
numeric__rainfall_mm,271.76640194126765,271.76640194126765
numeric__cloud_cover_mean_pct,238.67576070552786,238.67576070552786
categorical__municipality_Palimbang,-204.30478033060808,204.30478033060808
categorical__climate_zone_SOUTHWESTERN_COASTAL,-204.30478033060217,204.30478033060217
categorical__day_of_week_Wednesday,-187.91425661648282,187.91425661648282
numeric__is_special_event,-146.07738668290773,146.07738668290773
categorical__supply_system_SUKELCO_GRID,-141.60103084244383,141.60103084244383
numeric__doy_sin,136.50778856917736,136.50778856917736
numeric__doy_cos,113.34185317105147,113.34185317105147
numeric__rainfall_lag_1,-69.08246260011425,69.08246260011425
numeric__rolling_std_7,-68.38076391447828,68.38076391447828
categorical__day_of_week_Saturday,61.15468868357277,61.15468868357277
numeric__wind_speed_mean_kph,22.84388122124537,22.84388122124537
categorical__climate_zone_WESTERN_COASTAL,16.008400357535265,16.008400357535265
numeric__heat_index_mean_c,0.6948850227781804,0.6948850227781804
