municipality,direct_order,direct_seasonal_order,direct_fixed_validation_mape_pct,residual_order,residual_seasonal_order,residual_relative_validation_error_pct,hybrid_weight,hybrid_fixed_validation_mape_pct
Bagumbayan,"[2, 0, 2]","[1, 0, 1, 7]",3.9731185719248594,"[1, 1, 1]","[1, 0, 1, 7]",3.0620536813572796,1.5,3.0128881195045887
Columbio,"[2, 0, 1]","[1, 0, 1, 7]",3.6975074472083675,"[2, 0, 2]","[1, 0, 1, 7]",9.306711041915955,0.9,9.299739372585373
Esperanza,"[2, 0, 2]","[1, 0, 1, 7]",4.793922420014912,"[1, 1, 1]","[1, 0, 1, 7]",2.5984967265180323,1.5,2.5946308730407366
Isulan,"[2, 0, 2]","[1, 0, 1, 7]",5.100574843142981,"[2, 0, 1]","[1, 0, 1, 7]",3.390260590556176,1.5,3.388619143740998
Kalamansig,"[2, 0, 2]","[1, 0, 1, 7]",3.447932383592258,"[2, 0, 2]","[1, 0, 1, 7]",2.985351269255649,0.9,2.977498954079782
Lambayong,"[2, 0, 2]","[1, 0, 1, 7]",5.287750899339161,"[1, 1, 1]","[1, 0, 1, 7]",2.7655030995389156,1.0,2.7655030995389156
Lebak,"[2, 0, 1]","[1, 0, 1, 7]",3.933211767451936,"[2, 0, 1]","[1, 0, 1, 7]",1.892570509263692,1.0,1.8925705092636924
Lutayan,"[2, 0, 2]","[1, 0, 1, 7]",5.07186711592667,"[1, 1, 1]","[1, 0, 1, 7]",3.000042796303895,1.5,2.9879922879103327
Palimbang,"[2, 0, 2]","[1, 0, 1, 7]",3.0560792613529526,"[1, 1, 1]","[1, 0, 1, 7]",2.701816720470775,0.7,2.616186871094029
President Quirino,"[2, 0, 2]","[1, 0, 1, 7]",5.110283127002474,"[1, 1, 1]","[1, 0, 1, 7]",3.1598004697532196,0.85,3.150329840230798
Senator Ninoy Aquino,"[2, 0, 1]","[1, 0, 1, 7]",3.1642212403759715,"[2, 0, 1]","[1, 0, 1, 7]",6.138357728117051,1.0,6.138357728117051
Tacurong City,"[2, 0, 2]","[1, 0, 1, 7]",5.736354771024149,"[2, 0, 1]","[1, 0, 1, 7]",3.7207216760161574,0.8,3.6955397487223283
