date,municipality,consumption_kwh,production_mlr_prediction,production_mlr_residual_kwh
2020-01-31,Bagumbayan,33861.81,32430.507523199944,1431.3024768000541
2020-02-01,Bagumbayan,32390.83,31868.71003313784,522.119966862163
2020-02-02,Bagumbayan,29570.65,28653.424735423527,917.2252645764747
2020-02-03,Bagumbayan,32965.93,34181.07218824726,-1215.1421882472569
2020-02-04,Bagumbayan,33421.75,36044.083610201014,-2622.3336102010144
2020-02-05,Bagumbayan,32675.43,32398.874916525343,276.5550834746573
2020-02-06,Bagumbayan,32212.46,31511.45761192864,701.0023880713597
2020-02-07,Bagumbayan,32300.88,30887.350897001455,1413.5291029985456
2020-02-08,Bagumbayan,31252.7,29611.456238130835,1641.2437618691656
2020-02-09,Bagumbayan,30363.57,31107.972003593633,-744.4020035936337
2020-02-10,Bagumbayan,34488.29,34907.550881013056,-419.26088101305504
2020-02-11,Bagumbayan,35102.71,34320.78284686686,781.9271531331397
2020-02-12,Bagumbayan,33561.53,33175.44211209136,386.08788790863764
2020-02-13,Bagumbayan,34042.75,35770.020028381456,-1727.2700283814556
2020-02-14,Bagumbayan,31988.72,34212.09483307638,-2223.3748330763774
2020-02-15,Bagumbayan,32963.12,33557.981793409745,-594.861793409742
2020-02-16,Bagumbayan,32255.18,33752.27870638599,-1497.0987063859866
2020-02-17,Bagumbayan,34241.57,35349.734123446506,-1108.164123446506
2020-02-18,Bagumbayan,33086.0,32310.089791084774,775.9102089152257
2020-02-19,Bagumbayan,32872.15,33790.20235127695,-918.0523512769505
2020-02-20,Bagumbayan,33563.26,33248.21225215856,315.04774784143956
2020-02-21,Bagumbayan,33496.54,34144.25257208223,-647.7125720822296
2020-02-22,Bagumbayan,32223.12,32095.36021252197,127.75978747802947
2020-02-23,Bagumbayan,29725.73,27622.087179198083,2103.642820801917
2020-02-24,Bagumbayan,34502.58,36381.466758953145,-1878.8867589531437
2020-02-25,Bagumbayan,32622.62,30076.713321222862,2545.906678777137
2020-02-26,Bagumbayan,33200.73,32453.837023398402,746.8929766016008
2020-02-27,Bagumbayan,31859.76,34412.22689272341,-2552.4668927234125
2020-02-28,Bagumbayan,33344.32,33364.91979104988,-20.59979104987724
2020-02-29,Bagumbayan,30685.9,30913.46223358707,-227.56223358706848
2020-03-01,Bagumbayan,30081.08,32623.872336646615,-2542.792336646613
2020-03-02,Bagumbayan,33001.31,32519.119463928044,482.19053607195383
2020-03-03,Bagumbayan,33207.56,34421.28510907276,-1213.725109072766
2020-03-04,Bagumbayan,32495.21,34614.10783079175,-2118.8978307917496
2020-03-05,Bagumbayan,32751.95,34900.48978534124,-2148.5397853412396
2020-03-06,Bagumbayan,32654.55,33069.92976584917,-415.37976584917124
2020-03-07,Bagumbayan,32300.92,33222.91966171928,-921.999661719281
2020-03-08,Bagumbayan,32679.48,34810.54184352094,-2131.0618435209435
2020-03-09,Bagumbayan,33939.92,34702.84493551618,-762.924935516181
2020-03-10,Bagumbayan,33913.52,34707.65953920661,-794.1395392066115
2020-03-11,Bagumbayan,33051.79,32052.30112412832,999.4888758716806
2020-03-12,Bagumbayan,33350.82,34477.901309557186,-1127.0813095571866
