date,municipality,municipality_type,psgc_code,latitude,longitude,climate_zone,supply_system,grid_connected,planned_grid_connection_year,population,households_estimated,electrification_rate_est,residential_customer_count,nonresidential_customer_count,customer_count,economic_load_index,urban_intensity_index,consumption_kwh,peak_demand_kw,available_capacity_kw,capacity_utilization_pct,outage_minutes,temperature_mean_c,temperature_min_c,temperature_max_c,humidity_mean_pct,rainfall_mm,heat_index_mean_c,wind_speed_mean_kph,cloud_cover_mean_pct,is_holiday,holiday_name,holiday_type,is_weekend,day_of_week,month,quarter,year,is_special_event,special_event_name,record_status,record_notes,data_split,energy_anchor_type,data_classification,municipality_population_share_pct,consumption_lag_1,consumption_lag_2,consumption_lag_7,consumption_lag_14,consumption_lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,temperature_lag_1,rainfall_lag_1,consumption_vs_30d_pct,demand_level
2020-01-01,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68877,16853,0.82,13819.0,691.0,14510.0,0.88,0.72,31363.07,1942.26,4435.12,43.79,0,27.17,22.46,30.86,82.46,6.95,30.37,5.3,85.09,1,New Year's Day,REGULAR,0,Wednesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0712,,,,,,,,,,,,,NORMAL
2020-01-02,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68878,16854,0.82,13821.0,691.0,14512.0,0.88,0.72,32744.92,2007.32,4544.26,44.17,0,27.85,22.71,31.89,78.73,0.0,31.54,13.24,82.51,0,,,0,Thursday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0712,31363.07,,,,,,,,,27.17,6.95,,NORMAL
2020-01-03,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68878,16854,0.8201,13821.0,691.0,14512.0,0.88,0.72,33530.23,2047.44,4514.68,45.35,0,28.84,23.18,33.29,82.17,6.67,34.76,9.03,55.54,0,,,0,Friday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0712,32744.92,31363.07,,,,,,,,27.85,0.0,,NORMAL
2020-01-04,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68879,16855,0.8201,13823.0,691.0,14514.0,0.88,0.72,32687.0,2008.3,4593.67,43.72,0,28.58,23.09,32.9,85.13,8.91,34.62,5.69,58.5,0,,,1,Saturday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0713,33530.23,32744.92,,,,,,,,28.84,6.67,,NORMAL
2020-01-05,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68880,16855,0.8201,13823.0,691.0,14514.0,0.88,0.72,29614.28,1839.54,4460.69,41.24,0,27.92,22.74,32.0,81.89,5.13,32.19,6.54,62.3,0,,,1,Sunday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0713,32687.0,33530.23,,,,,,,,28.58,8.91,,NORMAL
2020-01-06,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68880,16855,0.8202,13824.0,691.0,14515.0,0.88,0.72,33762.37,2115.88,4608.46,45.91,0,28.22,22.92,32.38,78.83,3.56,32.45,7.13,80.34,0,,,0,Monday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0713,29614.28,32687.0,,,,,,,,27.92,5.13,,NORMAL
2020-01-07,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68881,16856,0.8202,13825.0,691.0,14516.0,0.88,0.72,35302.45,2165.75,4473.33,48.41,0,28.11,22.82,32.26,82.83,3.06,32.84,9.1,69.89,0,,,0,Tuesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0713,33762.37,29614.28,,,,,,,,28.22,3.56,,NORMAL
2020-01-08,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68881,16856,0.8202,13826.0,691.0,14517.0,0.88,0.72,33723.51,2081.25,4572.77,45.51,0,27.87,22.66,31.97,79.37,2.21,31.69,10.9,56.86,0,,,0,Wednesday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0713,35302.45,33762.37,31363.07,,,32714.902857,,,1821.18733,28.11,3.06,,NORMAL
2020-01-09,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68882,16856,0.8203,13826.0,691.0,14517.0,0.88,0.72,32343.28,2041.11,4648.46,43.91,0,27.69,22.51,31.76,82.35,0.0,31.65,8.12,42.3,0,,,0,Thursday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0713,33723.51,35302.45,32744.92,,,33052.108571,,,1746.149201,27.87,2.21,,NORMAL
2020-01-10,Bagumbayan,Municipality,1206501000,6.5404,124.5669,UPLAND_INTERIOR,SUKELCO_GRID,1,,68882,16856,0.8203,13827.0,691.0,14518.0,0.88,0.72,31744.81,1945.87,4534.29,42.91,0,27.14,22.35,30.89,84.64,0.0,30.53,9.83,78.04,0,,,0,Friday,1,1,2020,0,,NORMAL,,TRAIN,OFFICIAL_SUKELCO_GRID_DAILY_ALLOCATION,RESEARCH-GRADE SYNTHETIC / NOT OFFICIAL MUNICIPAL DAILY DATA,8.0713,32343.28,33723.51,33530.23,,,32994.731429,,,1764.428631,27.69,0.0,,NORMAL
