year,ledger_type,run_date,town_code,town_name,date_from,date_to,grand_total_consumer_entries,grand_total_kwh,grand_total_amount,source_file,average_monthly_consumer_entries_if_full_year
2016,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,201601,201612,250,56529.8,538564.9,2016-CONS.TXT,20.833333333333332
2017,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,201701,201712,245,88941.0,882280.24,2017-CONS.TXT,20.416666666666668
2018,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,201801,201812,230,72215.0,723828.68,2018-CONS.TXT,19.166666666666668
2019,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,201901,201912,379,123359.0,1141752.38,2019-CONS.TXT,31.583333333333332
2020,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,202001,202012,1252,307273.0,3036789.24,2020-CONS.TXT,104.33333333333333
2021,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,202101,202112,463,81670.0,843537.26,2021-CONS.TXT,38.583333333333336
2022,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,202201,202212,313,77816.0,992212.32,2022-CONS.TXT,26.083333333333332
2023,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,202301,202312,438,42955.0,484292.26,2023-CONS.TXT,36.5
2024,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,202401,202412,573,89204.0,853880.26,2024-CONS.TXT,47.75
2025,CONSUMER_LEDGER,07/23/2026,25,TACURONG CITY,202501,202512,12532,2353479.0,21695864.2,2025-CONS.TXT,1044.3333333333333
2026,CONSUMER_LEDGER,07/21/2026,25,TACURONG CITY,202601,202612,154589,34365959.0,339497326.75,2026-CON.TXT,12882.416666666666
