year,ledger_type,run_date,town_code,town_name,date_from,date_to,grand_total_consumer_entries,grand_total_kwh,grand_total_amount,source_file,average_monthly_consumer_entries
2016,HISTORY,07/20/2026,25,TACURONG CITY,201601,201612,172285,33192596.28,313112873.71,2016-HIS.TXT,14357.083333333334
2017,HISTORY,07/20/2026,25,TACURONG CITY,201701,201712,179460,33526955.72,326465731.57,2017-HIS.TXT,14955.0
2018,HISTORY,07/20/2026,25,TACURONG CITY,201801,201812,186160,36804567.0,369506548.95,2018-HIS.TXT,15513.333333333334
2019,HISTORY,07/20/2026,25,TACURONG CITY,201901,201912,196888,39938750.88,368084142.0,2019-HIS.TXT,16407.333333333332
2020,HISTORY,07/20/2026,25,TACURONG CITY,202001,202012,231201,41391642.0,406791671.39,2020-HIS.TXT,19266.75
2021,HISTORY,07/20/2026,25,TACURONG CITY,202101,202112,255769,42646115.83,438320345.85,2021-HIS.TXT,21314.083333333332
2022,HISTORY,07/21/2026,25,TACURONG CITY,202201,202212,260998,43098777.9,527759291.57,2022-HIS.TXT,21749.833333333332
2023,HISTORY,07/21/2026,25,TACURONG CITY,202301,202312,264392,46261133.62,505881681.63,2023-HIS.TXT,22032.666666666668
2024,HISTORY,07/21/2026,25,TACURONG CITY,202401,202412,268373,53550492.0,509956315.45,2024-HIS.TXT,22364.416666666668
2025,HISTORY,07/21/2026,25,TACURONG CITY,202501,202512,259698,52859323.0,516299055.28,2025-HIS.TXT,21641.5
