year,route_no,route_name,consumer_entries,kwh,amount_php,source
2016,2501,POB./NAT'L.HIWAY/PRK.6,5652,941923.0,9017690.3,SUKELCO Tacurong History Ledger
2016,2502,BONIFACIO/LEDESMA/MABINI,5825,1211092.0,11557490.12,SUKELCO Tacurong History Ledger
2016,2503,LEDESMA/LAPU-LAPU/MALVAR,2838,819545.0,7625820.54,SUKELCO Tacurong History Ledger
2016,2504,NAT'L. HIGHWAY/GEN. LUNA,2799,673368.0,6352361.42,SUKELCO Tacurong History Ledger
2016,2505,NAT'L. HIGHWAY/GEN. LUNA,4331,1033802.0,9675359.7,SUKELCO Tacurong History Ledger
2016,2506,POBLACION/RESORT AREA,1725,763230.0,6781579.77,SUKELCO Tacurong History Ledger
2016,2507,LEDESMA/BONIFACIO/MALVAR,1685,821778.0,7377532.98,SUKELCO Tacurong History Ledger
2016,2509,LEDESMA/LAPU-LAPU,1880,882638.0,7868678.69,SUKELCO Tacurong History Ledger
2016,2510,FLORES/FERNANDEZ/BIACA,9808,2166942.52,20524576.44,SUKELCO Tacurong History Ledger
2016,2511,NAT'L. HIGHWAY/CANOS,5345,1684015.0,15537795.88,SUKELCO Tacurong History Ledger
2016,2512,NAT'L. HIGHWAY/BUCOL SUBD,4391,1213969.56,11279347.03,SUKELCO Tacurong History Ledger
2016,2517,GANSING,3620,509339.9,4840926.17,SUKELCO Tacurong History Ledger
2016,2518,CAYAMBANAN,2708,404958.0,3858982.04,SUKELCO Tacurong History Ledger
2016,2519,SAN EMMANUEL,9634,1602268.96,15234498.47,SUKELCO Tacurong History Ledger
2016,2521,LOWER/UPPER KATUNGAL,5663,645266.94,6156639.44,SUKELCO Tacurong History Ledger
2016,2522,BARAS,4221,679139.72,6449891.05,SUKELCO Tacurong History Ledger
2016,2523,RAJAHMUDA,2024,222803.08,2107705.63,SUKELCO Tacurong History Ledger
2016,2524,NEW PASSI,2614,248859.35,2362167.75,SUKELCO Tacurong History Ledger
2016,2525,SAN ANTONIO,1331,191958.0,1835993.58,SUKELCO Tacurong History Ledger
2016,2526,SAN RAFAEL,1460,158944.0,1508030.45,SUKELCO Tacurong History Ledger
2016,2527,NEW LAGAO,2273,235888.0,2253906.72,SUKELCO Tacurong History Ledger
2016,2528,CALEAN,60,16442.0,149179.54,SUKELCO Tacurong History Ledger
2016,2529,LEDESMA/QUIPOLOT,1670,157600.0,1493231.79,SUKELCO Tacurong History Ledger
